,Search Option,Max Score,Mean Score,Min Score
16,"{'search_type': 'similarity_score_threshold', 'search_kwargs': {'score_threshold': 0.7}}",0.98524725,0.9639052400986353,0.94228673
15,"{'search_type': 'similarity_score_threshold', 'search_kwargs': {'score_threshold': 0.5}}",0.9642749,0.701552665233612,0.30633876
2,{'search_kwargs': {'k': 5}},0.9865753,0.6650713789719156,0.27139628
14,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.75}}",0.98342276,0.6243478044588119,0.18717289
0,{'search_kwargs': {'k': 10}},0.9913398,0.4802219649998006,0.034212828
8,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.75}}",0.9881872,0.4557124675030354,0.021610472
13,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.5}}",0.8462798,0.40620411103591325,0.023663584
9,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 30}}",0.8462798,0.40223049419582824,0.028075313
1,{'search_kwargs': {'k': 15}},0.9913398,0.39096904337212135,0.01242166
10,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 50}}",0.84992903,0.3790215261702542,0.017897442
11,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 70}}",0.84735644,0.35417043092689704,0.018156793
7,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.5}}",0.9658867,0.3534071474371012,0.013693454
3,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 30}}",0.95203,0.32877317488542757,0.014217779
12,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.25}}",0.83088744,0.3148260695452336,0.027480226
6,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.25}}",0.88393325,0.29164425720024156,0.01631691
4,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 50}}",0.94937754,0.28715448119299253,0.008542527
5,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 70}}",0.94937754,0.2751428988988482,0.0089063635
